Size;Min;Max;Mean;Median;Conf95start;Conf95end
1024;0,344566;2,891218;0,7427123743589744;0,616928;0,692248893127;0,793175855591
1048576;10,768368;38,289589;23,208182476923078;24,228832;22,4266364898;23,9897284641
10485760;93,535247;273,716686;182,67291118461537;180,344057;177,17040239;188,175419979
12582912;111,307768;402,306536;240,03042258974358;239,914908;232,984141037;247,076704142
14680064;148,525715;351,848133;244,44400909230768;249,029229;238,235187707;250,652830477
16777216;150,414612;461,541195;287,3500152102564;281,124618;278,061092201;296,63893822
18874368;181,319239;465,397699;295,0280067692308;295,28511;286,906312012;303,149701527
2097152;22,98364;56,986811;42,191605035;41,4087555;41,1902713622;43,1929387078
20971520;148,686257;505,18972;314,9187994205128;313,401601;306,869263069;322,968335772
23068672;224,344824;599,636808;371,9309894717949;367,47925;362,127045028;381,734933915
25165824;187,925184;621,249052;405,20122374358976;405,944338;395,746195176;414,656252311
27262976;262,636834;686,621399;436,53142804102566;430,77511;426,255494657;446,807361425
29360128;302,568007;696,895771;464,7944914923077;457,310154;453,99591778;475,593065204
31457280;254,733647;787,459643;471,5079964410256;461,699754;459,316767262;483,699225621
33554432;251,716643;740,13596;514,3143060820513;519,229981;502,060914991;526,567697173
35651584;331,770008;937,832658;582,4726891589744;573,851263;567,120007144;597,825371174
37748736;343,592787;817,652627;568,2516915948718;575,134125;557,300153289;579,2032299
39845888;333,083839;968,188556;613,0434717641026;600,987708;597,096494335;628,990449193
4194304;39,544582;125,884898;79,77792776410256;79,662834;77,3787250845;82,1771304437
41943040;480,433498;1050,288121;693,8639186461538;673,300788;677,122536458;710,605300834
6291456;73,064135;183,173763;126,05737861025641;123,989942;122,62521286;129,489544361
8388608;85,919353;258,904103;157,7682821794872;156,537757;153,167540773;162,369023586
